data,nivel_m
2025-06-22,268.11398835175896
2025-06-23,266.7372931171977
2025-06-24,265.07985336259554
2025-06-25,263.0889353944942
2025-06-26,260.6893611285949
2025-06-27,257.91296074731696
2025-06-28,254.7389891410837
2025-06-29,251.01160292997747
2025-06-30,246.64974499836813
2025-07-01,243.00392861582276
2025-07-02,239.43512188858568
2025-07-03,235.5691078532379
2025-07-04,232.21958587857097
2025-07-05,229.26049061699098
--- Início da Estimativa ---,---
2025-07-06,226.57112217372307
2025-07-07,223.80070007715207
2025-07-08,220.88336942414412
2025-07-09,217.87065598880795
2025-07-10,214.73020403633083
2025-07-11,211.39729978886928
2025-07-12,207.95853691153417
